Year,Region,Median age
1971,All-Island,27.2
1979,All-Island,26.9
1981,All-Island,26.9
1986,All-Island,27.9
1991,All-Island,29.7
1996,All-Island,31.5
2002,All-Island,32.7
2006,All-Island,34.1
2011,All-Island,34.6
2016,All-Island,36.3
2022,All-Island,38.8
1971,Northern Ireland,28.3
1979,Northern Ireland,29.0
1981,Northern Ireland,29.0
1986,Northern Ireland,30.0
1991,Northern Ireland,31.3
1996,Northern Ireland,32.7
2002,Northern Ireland,35.0
2006,Northern Ireland,36.0
2011,Northern Ireland,37.0
2016,Northern Ireland,38.0
2022,Northern Ireland,40.0
1971,Republic of Ireland,26.7
1979,Republic of Ireland,26.0
1981,Republic of Ireland,26.0
1986,Republic of Ireland,27.0
1991,Republic of Ireland,29.0
1996,Republic of Ireland,31.0
2002,Republic of Ireland,31.7
2006,Republic of Ireland,33.3
2011,Republic of Ireland,33.7
2016,Republic of Ireland,35.7
2022,Republic of Ireland,38.3
