Year,Region,Sex,Age band,Population
2022,All-Island,Both sexes,0-4,407347
2022,All-Island,Both sexes,5-9,466328
2022,All-Island,Both sexes,10-14,503491
2022,All-Island,Both sexes,15-19,453792
2022,All-Island,Both sexes,20-24,412547
2022,All-Island,Both sexes,25-29,411038
2022,All-Island,Both sexes,30-34,457012
2022,All-Island,Both sexes,35-39,511695
2022,All-Island,Both sexes,40-44,536655
2022,All-Island,Both sexes,45-49,491932
2022,All-Island,Both sexes,50-54,469206
2022,All-Island,Both sexes,55-59,437549
2022,All-Island,Both sexes,60-64,389326
2022,All-Island,Both sexes,65-69,334655
2022,All-Island,Both sexes,70-74,285637
2022,All-Island,Both sexes,75-79,224300
2022,All-Island,Both sexes,80-84,141648
2022,All-Island,Both sexes,85+,125524
2022,All-Island,Female,0-4,198572
2022,All-Island,Female,5-9,227534
2022,All-Island,Female,10-14,246274
2022,All-Island,Female,15-19,221510
2022,All-Island,Female,20-24,202402
2022,All-Island,Female,25-29,205801
2022,All-Island,Female,30-34,235908
2022,All-Island,Female,35-39,266196
2022,All-Island,Female,40-44,275666
2022,All-Island,Female,45-49,248661
2022,All-Island,Female,50-54,235869
2022,All-Island,Female,55-59,221623
2022,All-Island,Female,60-64,197926
2022,All-Island,Female,65-69,169444
2022,All-Island,Female,70-74,146222
2022,All-Island,Female,75-79,118104
2022,All-Island,Female,80-84,78332
2022,All-Island,Female,85+,79142
2022,All-Island,Male,0-4,208775
2022,All-Island,Male,5-9,238794
2022,All-Island,Male,10-14,257217
2022,All-Island,Male,15-19,232282
2022,All-Island,Male,20-24,210145
2022,All-Island,Male,25-29,205237
2022,All-Island,Male,30-34,221104
2022,All-Island,Male,35-39,245499
2022,All-Island,Male,40-44,260989
2022,All-Island,Male,45-49,243271
2022,All-Island,Male,50-54,233337
2022,All-Island,Male,55-59,215926
2022,All-Island,Male,60-64,191400
2022,All-Island,Male,65-69,165211
2022,All-Island,Male,70-74,139415
2022,All-Island,Male,75-79,106196
2022,All-Island,Male,80-84,63316
2022,All-Island,Male,85+,46382
2022,Northern Ireland,Both sexes,0-4,111932
2022,Northern Ireland,Both sexes,5-9,123658
2022,Northern Ireland,Both sexes,10-14,129289
2022,Northern Ireland,Both sexes,15-19,116164
2022,Northern Ireland,Both sexes,20-24,105404
2022,Northern Ireland,Both sexes,25-29,115230
2022,Northern Ireland,Both sexes,30-34,124789
2022,Northern Ireland,Both sexes,35-39,128826
2022,Northern Ireland,Both sexes,40-44,125131
2022,Northern Ireland,Both sexes,45-49,118428
2022,Northern Ireland,Both sexes,50-54,129203
2022,Northern Ireland,Both sexes,55-59,130384
2022,Northern Ireland,Both sexes,60-64,116656
