Year,Region,Age group,Persons
2022,Northern Ireland,16 - 24 years,864
2022,Northern Ireland,25 - 34 years,3047
2022,Northern Ireland,35 - 44 years,3011
2022,Northern Ireland,45 - 54 years,2260
2022,Northern Ireland,55 - 64 years,1163
2022,Northern Ireland,65 years and over,196
2022,Northern Ireland,All ages,10541
2022,Republic of Ireland,16 - 24 years,541
2022,Republic of Ireland,25 - 34 years,1319
2022,Republic of Ireland,35 - 44 years,2023
2022,Republic of Ireland,45 - 54 years,2312
2022,Republic of Ireland,55 - 64 years,1378
2022,Republic of Ireland,65 years and over,204
2022,Republic of Ireland,All ages,7777
