Year,Region,Sex,Qualification,Absolute,Percentage
2022,Northern Ireland,Both sexes,Basic qualification,450003,29.7
2022,Northern Ireland,Both sexes,Higher and professional qualification,486331,32.1
2022,Northern Ireland,Both sexes,Intermediate and advanced qualification,448170,29.6
2022,Northern Ireland,Both sexes,Other qualification,130238,8.6
2022,Northern Ireland,Both sexes,Qualification not stated,0,0.0
2022,Northern Ireland,Female,Basic qualification,232943,30.0
2022,Northern Ireland,Female,Higher and professional qualification,271832,35.0
2022,Northern Ireland,Female,Intermediate and advanced qualification,238525,30.7
2022,Northern Ireland,Female,Other qualification,34303,4.4
2022,Northern Ireland,Female,Qualification not stated,0,0.0
2022,Northern Ireland,Male,Basic qualification,217060,29.4
2022,Northern Ireland,Male,Higher and professional qualification,214499,29.1
2022,Northern Ireland,Male,Intermediate and advanced qualification,209645,28.4
2022,Northern Ireland,Male,Other qualification,95935,13.0
2022,Northern Ireland,Male,Qualification not stated,0,0.0
2022,Republic of Ireland,Both sexes,Basic qualification,973527,24.3
2022,Republic of Ireland,Both sexes,Higher and professional qualification,1277957,31.9
2022,Republic of Ireland,Both sexes,Intermediate and advanced qualification,1500796,37.4
2022,Republic of Ireland,Both sexes,Other qualification,0,0.0
2022,Republic of Ireland,Both sexes,Qualification not stated,258990,6.5
2022,Republic of Ireland,Female,Basic qualification,450189,22.0
2022,Republic of Ireland,Female,Higher and professional qualification,709068,34.7
2022,Republic of Ireland,Female,Intermediate and advanced qualification,759900,37.2
2022,Republic of Ireland,Female,Other qualification,0,0.0
2022,Republic of Ireland,Female,Qualification not stated,125368,6.1
2022,Republic of Ireland,Male,Basic qualification,523338,26.6
2022,Republic of Ireland,Male,Higher and professional qualification,568889,28.9
2022,Republic of Ireland,Male,Intermediate and advanced qualification,740896,37.7
2022,Republic of Ireland,Male,Other qualification,0,0.0
2022,Republic of Ireland,Male,Qualification not stated,133622,6.8
