"Statistic Label","Census year","Ireland and Northern Ireland","Sex","UNIT","VALUE"
"Median age","1971","Northern Ireland","Female","Number","30"
"Median age","1971","Northern Ireland","Male","Number","27"
"Median age","1971","Northern Ireland","All persons","Number","28"
"Median age","1971","Ireland","Female","Number","27"
"Median age","1971","Ireland","Male","Number","26"
"Median age","1971","Ireland","All persons","Number","27"
"Median age","1979","Northern Ireland","Female","Number","31"
"Median age","1979","Northern Ireland","Male","Number","27"
"Median age","1979","Northern Ireland","All persons","Number","29"
"Median age","1979","Ireland","Female","Number","27"
"Median age","1979","Ireland","Male","Number","25"
"Median age","1979","Ireland","All persons","Number","26"
"Median age","1981","Northern Ireland","Female","Number","31"
"Median age","1981","Northern Ireland","Male","Number","27"
"Median age","1981","Northern Ireland","All persons","Number","29"
"Median age","1981","Ireland","Female","Number","27"
"Median age","1981","Ireland","Male","Number","25"
"Median age","1981","Ireland","All persons","Number","26"
"Median age","1986","Northern Ireland","Female","Number","32"
"Median age","1986","Northern Ireland","Male","Number","28"
"Median age","1986","Northern Ireland","All persons","Number","30"
"Median age","1986","Ireland","Female","Number","28"
"Median age","1986","Ireland","Male","Number","26"
"Median age","1986","Ireland","All persons","Number","27"
"Median age","1991","Northern Ireland","Female","Number","33"
"Median age","1991","Northern Ireland","Male","Number","30"
"Median age","1991","Northern Ireland","All persons","Number","31"
"Median age","1991","Ireland","Female","Number","30"
"Median age","1991","Ireland","Male","Number","28"
"Median age","1991","Ireland","All persons","Number","29"
"Median age","1996","Northern Ireland","Female","Number","34"
"Median age","1996","Northern Ireland","Male","Number","31"
"Median age","1996","Northern Ireland","All persons","Number","33"
"Median age","1996","Ireland","Female","Number","32"
"Median age","1996","Ireland","Male","Number","30"
"Median age","1996","Ireland","All persons","Number","31"
"Median age","2002","Northern Ireland","Female","Number","36"
"Median age","2002","Northern Ireland","Male","Number","34"
"Median age","2002","Northern Ireland","All persons","Number","35"
"Median age","2002","Ireland","Female","Number","32"
"Median age","2002","Ireland","Male","Number","31"
"Median age","2002","Ireland","All persons","Number","32"
"Median age","2006","Northern Ireland","Female","Number","37"
"Median age","2006","Northern Ireland","Male","Number","35"
"Median age","2006","Northern Ireland","All persons","Number","36"
"Median age","2006","Ireland","Female","Number","34"
"Median age","2006","Ireland","Male","Number","33"
"Median age","2006","Ireland","All persons","Number","33"
"Median age","2011","Northern Ireland","Female","Number","38"
"Median age","2011","Northern Ireland","Male","Number","36"
"Median age","2011","Northern Ireland","All persons","Number","37"
"Median age","2011","Ireland","Female","Number","34"
"Median age","2011","Ireland","Male","Number","33"
"Median age","2011","Ireland","All persons","Number","34"
"Median age","2016","Northern Ireland","Female","Number","39"
"Median age","2016","Northern Ireland","Male","Number","37"
"Median age","2016","Northern Ireland","All persons","Number","38"
"Median age","2016","Ireland","Female","Number","36"
"Median age","2016","Ireland","Male","Number","35"
"Median age","2016","Ireland","All persons","Number","36"
"Median age","2022","Northern Ireland","Female","Number","41"
"Median age","2022","Northern Ireland","Male","Number","39"
"Median age","2022","Northern Ireland","All persons","Number","40"
"Median age","2022","Ireland","Female","Number","39"
"Median age","2022","Ireland","Male","Number","38"
"Median age","2022","Ireland","All persons","Number","38"
