"Statistic Label","Year","Item","UNIT","VALUE"
"Expenditure on Gross National Income at Constant Market Prices","1995","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","53686"
"Expenditure on Gross National Income at Constant Market Prices","1995","92a Final consumption expenditure of Households and NPISHs","Euro Million","52880"
"Expenditure on Gross National Income at Constant Market Prices","1995","92b Final consumption expenditure of government","Euro Million","888"
"Expenditure on Gross National Income at Constant Market Prices","1995","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","20570"
"Expenditure on Gross National Income at Constant Market Prices","1995","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","21632"
"Expenditure on Gross National Income at Constant Market Prices","1995","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","479"
"Expenditure on Gross National Income at Constant Market Prices","1995","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","1995","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","56087"
"Expenditure on Gross National Income at Constant Market Prices","1995","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-50798"
"Expenditure on Gross National Income at Constant Market Prices","1995","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","1995","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","109182"
"Expenditure on Gross National Income at Constant Market Prices","1995","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-7705"
"Expenditure on Gross National Income at Constant Market Prices","1995","101. Gross national product at constant market prices","Euro Million","106442"
"Expenditure on Gross National Income at Constant Market Prices","1995","102. EU subsidies - ESA code (D.3)","Euro Million","3034"
"Expenditure on Gross National Income at Constant Market Prices","1995","103. EU taxes - ESA code (D.2)","Euro Million","-458"
"Expenditure on Gross National Income at Constant Market Prices","1995","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","108935"
"Expenditure on Gross National Income at Constant Market Prices","1995","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-11183"
"Expenditure on Gross National Income at Constant Market Prices","1995","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","102087"
