"Statistic Label","Census Year","Sex","Marital Status","Ireland and Northern Ireland","UNIT","VALUE"
"Population aged 15 years and over","2001/2002","Both sexes","Single","Ireland","Number","1314664"
"Population aged 15 years and over","2001/2002","Both sexes","Single","Northern Ireland","Number","453320"
"Population aged 15 years and over","2001/2002","Both sexes","Married","Ireland","Number","1454413"
"Population aged 15 years and over","2001/2002","Both sexes","Married","Northern Ireland","Number","658083"
"Population aged 15 years and over","2001/2002","Both sexes","Separated","Ireland","Number","98779"
"Population aged 15 years and over","2001/2002","Both sexes","Separated","Northern Ireland","Number","49419"
"Population aged 15 years and over","2001/2002","Both sexes","Divorced","Ireland","Number","35059"
"Population aged 15 years and over","2001/2002","Both sexes","Divorced","Northern Ireland","Number","53000"
"Population aged 15 years and over","2001/2002","Both sexes","Widowed","Ireland","Number","186860"
"Population aged 15 years and over","2001/2002","Both sexes","Widowed","Northern Ireland","Number","100488"
"Population aged 15 years and over","2001/2002","Male","Single","Ireland","Number","698591"
"Population aged 15 years and over","2001/2002","Male","Single","Northern Ireland","Number","239989"
"Population aged 15 years and over","2001/2002","Male","Married","Ireland","Number","728344"
"Population aged 15 years and over","2001/2002","Male","Married","Northern Ireland","Number","328922"
"Population aged 15 years and over","2001/2002","Male","Separated","Ireland","Number","41420"
"Population aged 15 years and over","2001/2002","Male","Separated","Northern Ireland","Number","19388"
"Population aged 15 years and over","2001/2002","Male","Divorced","Ireland","Number","16155"
"Population aged 15 years and over","2001/2002","Male","Divorced","Northern Ireland","Number","21909"
"Population aged 15 years and over","2001/2002","Male","Widowed","Ireland","Number","37610"
"Population aged 15 years and over","2001/2002","Male","Widowed","Northern Ireland","Number","20867"
"Population aged 15 years and over","2001/2002","Female","Single","Ireland","Number","616073"
"Population aged 15 years and over","2001/2002","Female","Single","Northern Ireland","Number","213331"
"Population aged 15 years and over","2001/2002","Female","Married","Ireland","Number","726069"
"Population aged 15 years and over","2001/2002","Female","Married","Northern Ireland","Number","329161"
"Population aged 15 years and over","2001/2002","Female","Separated","Ireland","Number","57359"
"Population aged 15 years and over","2001/2002","Female","Separated","Northern Ireland","Number","30031"
"Population aged 15 years and over","2001/2002","Female","Divorced","Ireland","Number","18904"
"Population aged 15 years and over","2001/2002","Female","Divorced","Northern Ireland","Number","31091"
"Population aged 15 years and over","2001/2002","Female","Widowed","Ireland","Number","149250"
"Population aged 15 years and over","2001/2002","Female","Widowed","Northern Ireland","Number","79621"
"Population aged 15 years and over","2011","Both sexes","Single","Ireland","Number","1505035"
"Population aged 15 years and over","2011","Both sexes","Single","Northern Ireland","Number","542013"
"Population aged 15 years and over","2011","Both sexes","Married","Ireland","Number","1708604"
"Population aged 15 years and over","2011","Both sexes","Married","Northern Ireland","Number","682074"
"Population aged 15 years and over","2011","Both sexes","Separated","Ireland","Number","116194"
"Population aged 15 years and over","2011","Both sexes","Separated","Northern Ireland","Number","56911"
"Population aged 15 years and over","2011","Both sexes","Divorced","Ireland","Number","87770"
"Population aged 15 years and over","2011","Both sexes","Divorced","Northern Ireland","Number","78074"
"Population aged 15 years and over","2011","Both sexes","Widowed","Ireland","Number","191059"
"Population aged 15 years and over","2011","Both sexes","Widowed","Northern Ireland","Number","97088"
"Population aged 15 years and over","2011","Male","Single","Ireland","Number","784423"
"Population aged 15 years and over","2011","Male","Single","Northern Ireland","Number","285801"
"Population aged 15 years and over","2011","Male","Married","Ireland","Number","855087"
"Population aged 15 years and over","2011","Male","Married","Northern Ireland","Number","342111"
"Population aged 15 years and over","2011","Male","Separated","Ireland","Number","50833"
"Population aged 15 years and over","2011","Male","Separated","Northern Ireland","Number","22818"
"Population aged 15 years and over","2011","Male","Divorced","Ireland","Number","38085"
"Population aged 15 years and over","2011","Male","Divorced","Northern Ireland","Number","32839"
"Population aged 15 years and over","2011","Male","Widowed","Ireland","Number","43082"
"Population aged 15 years and over","2011","Male","Widowed","Northern Ireland","Number","22087"
"Population aged 15 years and over","2011","Female","Single","Ireland","Number","720612"
"Population aged 15 years and over","2011","Female","Single","Northern Ireland","Number","256212"
"Population aged 15 years and over","2011","Female","Married","Ireland","Number","853517"
"Population aged 15 years and over","2011","Female","Married","Northern Ireland","Number","339963"
"Population aged 15 years and over","2011","Female","Separated","Ireland","Number","65361"
"Population aged 15 years and over","2011","Female","Separated","Northern Ireland","Number","34093"
"Population aged 15 years and over","2011","Female","Divorced","Ireland","Number","49685"
"Population aged 15 years and over","2011","Female","Divorced","Northern Ireland","Number","45235"
"Population aged 15 years and over","2011","Female","Widowed","Ireland","Number","147977"
"Population aged 15 years and over","2011","Female","Widowed","Northern Ireland","Number","75001"
"Population aged 15 years and over","2021/2022","Both sexes","Single","Ireland","Number","1761047"
"Population aged 15 years and over","2021/2022","Both sexes","Single","Northern Ireland","Number","599925"
"Population aged 15 years and over","2021/2022","Both sexes","Married","Ireland","Number","1912850"
"Population aged 15 years and over","2021/2022","Both sexes","Married","Northern Ireland","Number","693250"
"Population aged 15 years and over","2021/2022","Both sexes","Separated","Ireland","Number","119452"
"Population aged 15 years and over","2021/2022","Both sexes","Separated","Northern Ireland","Number","57272"
