"Statistic Label","Census Year","Ireland and Northern Ireland","Ethnicity","UNIT","VALUE"
"Population Usually Resident","2021/2022","Ireland","White","Number","4395137"
"Population Usually Resident","2021/2022","Ireland","Irish Traveller","Number","32949"
"Population Usually Resident","2021/2022","Ireland","Asian","Number","186321"
"Population Usually Resident","2021/2022","Ireland","Black","Number","76245"
"Population Usually Resident","2021/2022","Ireland","Other including mixed background","Number","81051"
"Population Usually Resident","2021/2022","Ireland","Not stated","Number","313176"
"Population Usually Resident","2021/2022","Ireland","All ethnic or cultural backgrounds","Number","5084879"
"Population Usually Resident","2021/2022","Northern Ireland","White","Number","1837575"
"Population Usually Resident","2021/2022","Northern Ireland","Irish Traveller","Number","2610"
"Population Usually Resident","2021/2022","Northern Ireland","Asian","Number","32480"
"Population Usually Resident","2021/2022","Northern Ireland","Black","Number","11030"
"Population Usually Resident","2021/2022","Northern Ireland","Other including mixed background","Number","19479"
"Population Usually Resident","2021/2022","Northern Ireland","Not stated","Number","0"
"Population Usually Resident","2021/2022","Northern Ireland","All ethnic or cultural backgrounds","Number","1903174"
"Percentage of Population Usually Resident","2021/2022","Ireland","White","%","86.4"
"Percentage of Population Usually Resident","2021/2022","Ireland","Irish Traveller","%","0.6"
"Percentage of Population Usually Resident","2021/2022","Ireland","Asian","%","3.7"
"Percentage of Population Usually Resident","2021/2022","Ireland","Black","%","1.5"
"Percentage of Population Usually Resident","2021/2022","Ireland","Other including mixed background","%","1.6"
"Percentage of Population Usually Resident","2021/2022","Ireland","Not stated","%","6.2"
"Percentage of Population Usually Resident","2021/2022","Ireland","All ethnic or cultural backgrounds","%","100"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","White","%","96.6"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Irish Traveller","%","0.1"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Asian","%","1.7"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Black","%","0.6"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Other including mixed background","%","1"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Not stated","%","0"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","All ethnic or cultural backgrounds","%","100"
