"Statistic Label","Census Year","Ireland and Northern Ireland","Top 10 Places of Birth","UNIT","VALUE"
"Population Usually Resident","2021/2022","Ireland","Great Britain","Number","227303"
"Population Usually Resident","2021/2022","Ireland","United States of America (the)","Number","34236"
"Population Usually Resident","2021/2022","Ireland","China","Number","16425"
"Population Usually Resident","2021/2022","Ireland","Ireland","Number","4067442"
"Population Usually Resident","2021/2022","Ireland","Northern Ireland","Number","61750"
"Population Usually Resident","2021/2022","Ireland","Poland","Number","106143"
"Population Usually Resident","2021/2022","Ireland","India","Number","56642"
"Population Usually Resident","2021/2022","Ireland","Romania","Number","42460"
"Population Usually Resident","2021/2022","Ireland","Brazil","Number","39556"
"Population Usually Resident","2021/2022","Ireland","Lithuania","Number","34242"
"Population Usually Resident","2021/2022","Ireland","Nigeria","Number","20559"
"Population Usually Resident","2021/2022","Ireland","Bulgaria","Number","4585"
"Population Usually Resident","2021/2022","Ireland","All countries","Number","5084879"
"Population Usually Resident","2021/2022","Northern Ireland","Great Britain","Number","92256"
"Population Usually Resident","2021/2022","Northern Ireland","United States of America (the)","Number","4988"
"Population Usually Resident","2021/2022","Northern Ireland","China","Number","4134"
"Population Usually Resident","2021/2022","Northern Ireland","Ireland","Number","40357"
"Population Usually Resident","2021/2022","Northern Ireland","Northern Ireland","Number","1646276"
"Population Usually Resident","2021/2022","Northern Ireland","Poland","Number","22335"
"Population Usually Resident","2021/2022","Northern Ireland","India","Number","6910"
"Population Usually Resident","2021/2022","Northern Ireland","Romania","Number","6612"
"Population Usually Resident","2021/2022","Northern Ireland","Brazil","Number","907"
"Population Usually Resident","2021/2022","Northern Ireland","Lithuania","Number","10452"
"Population Usually Resident","2021/2022","Northern Ireland","Nigeria","Number","1555"
"Population Usually Resident","2021/2022","Northern Ireland","Bulgaria","Number","4098"
"Population Usually Resident","2021/2022","Northern Ireland","All countries","Number","1903175"
"Percentage of Population Usually Resident","2021/2022","Ireland","Great Britain","%","4.47"
"Percentage of Population Usually Resident","2021/2022","Ireland","United States of America (the)","%","0.67"
"Percentage of Population Usually Resident","2021/2022","Ireland","China","%","0.32"
"Percentage of Population Usually Resident","2021/2022","Ireland","Ireland","%","79.99"
"Percentage of Population Usually Resident","2021/2022","Ireland","Northern Ireland","%","1.21"
"Percentage of Population Usually Resident","2021/2022","Ireland","Poland","%","2.09"
"Percentage of Population Usually Resident","2021/2022","Ireland","India","%","1.11"
"Percentage of Population Usually Resident","2021/2022","Ireland","Romania","%","0.84"
"Percentage of Population Usually Resident","2021/2022","Ireland","Brazil","%","0.78"
"Percentage of Population Usually Resident","2021/2022","Ireland","Lithuania","%","0.67"
"Percentage of Population Usually Resident","2021/2022","Ireland","Nigeria","%","0.4"
"Percentage of Population Usually Resident","2021/2022","Ireland","Bulgaria","%","0.09"
"Percentage of Population Usually Resident","2021/2022","Ireland","All countries","%","100"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Great Britain","%","4.85"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","United States of America (the)","%","0.26"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","China","%","0.22"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Ireland","%","2.12"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Northern Ireland","%","86.5"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Poland","%","1.17"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","India","%","0.36"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Romania","%","0.35"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Brazil","%","0.05"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Lithuania","%","0.55"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Nigeria","%","0.08"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","Bulgaria","%","0.22"
"Percentage of Population Usually Resident","2021/2022","Northern Ireland","All countries","%","100"
