"Statistic Label","Census Year","Ireland and Northern Ireland","Religion","UNIT","VALUE"
"Population Usually Resident  and Present","2021/2022","Ireland","Roman Catholic","Number","3515861"
"Population Usually Resident  and Present","2021/2022","Ireland","Protestant and Other Christian religion, n.e.s.","Number","340368"
"Population Usually Resident  and Present","2021/2022","Ireland","No religion","Number","740033"
"Population Usually Resident  and Present","2021/2022","Ireland","Not stated","Number","339562"
"Population Usually Resident  and Present","2021/2022","Ireland","Islam","Number","81930"
"Population Usually Resident  and Present","2021/2022","Ireland","Other stated religions (1)","Number","34082"
"Population Usually Resident  and Present","2021/2022","Ireland","Hindu","Number","33043"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Roman Catholic","Number","805151"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Protestant and Other Christian religion, n.e.s.","Number","710993"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","No religion","Number","330983"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","Number","30529"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Islam","Number","10870"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Other stated religions (1)","Number","10459"
"Population Usually Resident  and Present","2021/2022","Northern Ireland","Hindu","Number","4190"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Roman Catholic","%","69.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Protestant and Other Christian religion, n.e.s.","%","6.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","No religion","%","14.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","%","6.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Islam","%","1.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Other stated religions (1)","%","0.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Hindu","%","0.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Roman Catholic","%","42.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Protestant and Other Christian religion, n.e.s.","%","37.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","No religion","%","17.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","%","1.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Islam","%","0.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Other stated religions (1)","%","0.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Hindu","%","0.2"
