"Statistic Label","Census Year","Ireland and Northern Ireland","Age Group","Religion","UNIT","VALUE"
"Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","Roman Catholic","Number","191571"
"Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","Protestant  and Other Christian religion, n.e.s.","Number","19102"
"Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","No religion","Number","45787"
"Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","Not stated","Number","24613"
"Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","Islam","Number","8213"
"Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","Other stated religions (1)","Number","1228"
"Population Usually Resident  and Present","2021/2022","Ireland","0 - 4 years","Hindu","Number","2283"
"Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","Roman Catholic","Number","244104"
"Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","Protestant  and Other Christian religion, n.e.s.","Number","23709"
"Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","No religion","Number","36449"
"Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","Not stated","Number","23145"
"Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","Islam","Number","8717"
"Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","Other stated religions (1)","Number","1511"
"Population Usually Resident  and Present","2021/2022","Ireland","5 - 9 years","Hindu","Number","2428"
"Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","Roman Catholic","Number","275397"
"Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","Protestant  and Other Christian religion, n.e.s.","Number","25913"
"Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","No religion","Number","34754"
"Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","Not stated","Number","23489"
"Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","Islam","Number","8255"
"Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","Other stated religions (1)","Number","1677"
"Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","Hindu","Number","1763"
"Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","Roman Catholic","Number","232870"
