"Statistic Label","Year","Sex","Ireland and Northern Ireland","UNIT","VALUE"
"Population","1841","Both sexes","Ireland","Number","6528799"
"Population","1841","Both sexes","Northern Ireland","Number","1646325"
"Population","1841","Male","Ireland","Number","3222485"
"Population","1841","Male","Northern Ireland","Number","797091"
"Population","1841","Female","Ireland","Number","3306314"
"Population","1841","Female","Northern Ireland","Number","849234"
"Population","1851","Both sexes","Ireland","Number","5111557"
"Population","1851","Both sexes","Northern Ireland","Number","1440835"
"Population","1851","Male","Ireland","Number","2494478"
"Population","1851","Male","Northern Ireland","Number","696160"
"Population","1851","Female","Ireland","Number","2617079"
"Population","1851","Female","Northern Ireland","Number","744675"
"Population","1861","Both sexes","Ireland","Number","4402111"
"Population","1861","Both sexes","Northern Ireland","Number","1396183"
"Population","1861","Male","Ireland","Number","2169042"
"Population","1861","Male","Northern Ireland","Number","667669"
"Population","1861","Female","Ireland","Number","2233069"
"Population","1861","Female","Northern Ireland","Number","728514"
"Population","1871","Both sexes","Ireland","Number","4053187"
"Population","1871","Both sexes","Northern Ireland","Number","1359190"
"Population","1871","Male","Ireland","Number","1992468"
"Population","1871","Male","Northern Ireland","Number","647285"
"Population","1871","Female","Ireland","Number","2060719"
"Population","1871","Female","Northern Ireland","Number","711905"
"Population","1881","Both sexes","Ireland","Number","3870020"
"Population","1881","Both sexes","Northern Ireland","Number","1304816"
"Population","1881","Male","Ireland","Number","1912438"
"Population","1881","Male","Northern Ireland","Number","620839"
"Population","1881","Female","Ireland","Number","1957582"
"Population","1881","Female","Northern Ireland","Number","683977"
"Population","1891","Both sexes","Ireland","Number","3468694"
"Population","1891","Both sexes","Northern Ireland","Number","1236056"
"Population","1891","Male","Ireland","Number","1728601"
"Population","1891","Male","Northern Ireland","Number","590352"
"Population","1891","Female","Ireland","Number","1740093"
"Population","1891","Female","Northern Ireland","Number","645704"
"Population","1901","Both sexes","Ireland","Number","3221823"
"Population","1901","Both sexes","Northern Ireland","Number","1237000"
"Population","1901","Male","Ireland","Number","1610085"
"Population","1901","Male","Northern Ireland","Number","590000"
"Population","1901","Female","Ireland","Number","1611738"
"Population","1901","Female","Northern Ireland","Number","647000"
"Population","1911","Both sexes","Ireland","Number","3139688"
"Population","1911","Both sexes","Northern Ireland","Number","1251000"
"Population","1911","Male","Ireland","Number","1589509"
"Population","1911","Male","Northern Ireland","Number","603000"
"Population","1911","Female","Ireland","Number","1550179"
"Population","1911","Female","Northern Ireland","Number","648000"
"Population","1926","Both sexes","Ireland","Number","2971992"
"Population","1926","Both sexes","Northern Ireland","Number","1254000"
"Population","1926","Male","Ireland","Number","1506889"
"Population","1926","Male","Northern Ireland","Number","607000"
"Population","1926","Female","Ireland","Number","1465103"
"Population","1926","Female","Northern Ireland","Number","647000"
"Population","1936","Both sexes","Ireland","Number","2968420"
"Population","1936","Both sexes","Northern Ireland","Number","1276000"
"Population","1936","Male","Ireland","Number","1520454"
"Population","1936","Male","Northern Ireland","Number","621000"
"Population","1936","Female","Ireland","Number","1447966"
"Population","1936","Female","Northern Ireland","Number","655000"
"Population","1946","Both sexes","Ireland","Number","2955107"
"Population","1946","Both sexes","Northern Ireland","Number","1333000"
"Population","1946","Male","Ireland","Number","1494877"
"Population","1946","Male","Northern Ireland","Number","647000"
"Population","1946","Female","Ireland","Number","1460230"
"Population","1946","Female","Northern Ireland","Number","686000"
"Population","1951","Both sexes","Ireland","Number","2960593"
"Population","1951","Both sexes","Northern Ireland","Number","1372600"
"Population","1951","Male","Ireland","Number","1506597"
"Population","1951","Male","Northern Ireland","Number","667800"
"Population","1951","Female","Ireland","Number","1453996"
"Population","1951","Female","Northern Ireland","Number","704800"
"Population","1956","Both sexes","Ireland","Number","2898264"
"Population","1956","Both sexes","Northern Ireland","Number","1397000"
"Population","1956","Male","Ireland","Number","1462928"
"Population","1956","Male","Northern Ireland","Number","681000"
"Population","1956","Female","Ireland","Number","1435336"
"Population","1956","Female","Northern Ireland","Number","716000"
"Population","1961","Both sexes","Ireland","Number","2818341"
"Population","1961","Both sexes","Northern Ireland","Number","1427400"
"Population","1961","Male","Ireland","Number","1416549"
"Population","1961","Male","Northern Ireland","Number","695700"
"Population","1961","Female","Ireland","Number","1401792"
"Population","1961","Female","Northern Ireland","Number","731700"
"Population","1966","Both sexes","Ireland","Number","2884002"
"Population","1966","Both sexes","Northern Ireland","Number","1478000"
"Population","1966","Male","Ireland","Number","1449032"
"Population","1966","Male","Northern Ireland","Number","720100"
"Population","1966","Female","Ireland","Number","1434970"
"Population","1966","Female","Northern Ireland","Number","757900"
"Population","1971","Both sexes","Ireland","Number","2978248"
"Population","1971","Both sexes","Northern Ireland","Number","1540413"
"Population","1971","Male","Ireland","Number","1495760"
"Population","1971","Male","Northern Ireland","Number","754613"
"Population","1971","Female","Ireland","Number","1482488"
"Population","1971","Female","Northern Ireland","Number","785800"
"Population","1979","Both sexes","Ireland","Number","3368217"
"Population","1979","Both sexes","Northern Ireland","Number","1528253"
"Population","1979","Male","Ireland","Number","1693272"
