"Statistic Label","Census Year","Sex","Age Group","Ireland and Northern Ireland","UNIT","VALUE"
"Population","2022","Both sexes","All ages","Ireland","Number","5149139"
"Population","2022","Both sexes","All ages","Northern Ireland","Number","1910543"
"Population","2022","Both sexes","0 - 4 years","Ireland","Number","295415"
"Population","2022","Both sexes","0 - 4 years","Northern Ireland","Number","111932"
"Population","2022","Both sexes","5 - 9 years","Ireland","Number","342670"
"Population","2022","Both sexes","5 - 9 years","Northern Ireland","Number","123658"
"Population","2022","Both sexes","10 - 14 years","Ireland","Number","374202"
"Population","2022","Both sexes","10 - 14 years","Northern Ireland","Number","129289"
"Population","2022","Both sexes","15 - 19 years","Ireland","Number","337628"
"Population","2022","Both sexes","15 - 19 years","Northern Ireland","Number","116164"
"Population","2022","Both sexes","20 - 24 years","Ireland","Number","307143"
"Population","2022","Both sexes","20 - 24 years","Northern Ireland","Number","105404"
"Population","2022","Both sexes","25 - 29 years","Ireland","Number","295808"
"Population","2022","Both sexes","25 - 29 years","Northern Ireland","Number","115230"
"Population","2022","Both sexes","30 - 34 years","Ireland","Number","332223"
"Population","2022","Both sexes","30 - 34 years","Northern Ireland","Number","124789"
"Population","2022","Both sexes","35 - 39 years","Ireland","Number","382869"
"Population","2022","Both sexes","35 - 39 years","Northern Ireland","Number","128826"
"Population","2022","Both sexes","40 - 44 years","Ireland","Number","411524"
"Population","2022","Both sexes","40 - 44 years","Northern Ireland","Number","125131"
"Population","2022","Both sexes","45 - 49 years","Ireland","Number","373504"
"Population","2022","Both sexes","45 - 49 years","Northern Ireland","Number","118428"
"Population","2022","Both sexes","50 - 54 years","Ireland","Number","340003"
"Population","2022","Both sexes","50 - 54 years","Northern Ireland","Number","129203"
"Population","2022","Both sexes","55 - 59 years","Ireland","Number","307165"
"Population","2022","Both sexes","55 - 59 years","Northern Ireland","Number","130384"
"Population","2022","Both sexes","60 - 64 years","Ireland","Number","272670"
"Population","2022","Both sexes","60 - 64 years","Northern Ireland","Number","116656"
"Population","2022","Both sexes","65 - 69 years","Ireland","Number","238144"
"Population","2022","Both sexes","65 - 69 years","Northern Ireland","Number","96511"
"Population","2022","Both sexes","70 - 74 years","Ireland","Number","202884"
"Population","2022","Both sexes","70 - 74 years","Northern Ireland","Number","82753"
"Population","2022","Both sexes","75 - 79 years","Ireland","Number","154260"
"Population","2022","Both sexes","75 - 79 years","Northern Ireland","Number","70040"
"Population","2022","Both sexes","80 - 84 years","Ireland","Number","96586"
"Population","2022","Both sexes","80 - 84 years","Northern Ireland","Number","45062"
"Population","2022","Both sexes","85 years and over","Ireland","Number","84441"
"Population","2022","Both sexes","85 years and over","Northern Ireland","Number","41083"
"Population","2022","Male","All ages","Ireland","Number","2544549"
"Population","2022","Male","All ages","Northern Ireland","Number","939947"
"Population","2022","Male","0 - 4 years","Ireland","Number","151408"
"Population","2022","Male","0 - 4 years","Northern Ireland","Number","57367"
"Population","2022","Male","5 - 9 years","Ireland","Number","175470"
"Population","2022","Male","5 - 9 years","Northern Ireland","Number","63324"
"Population","2022","Male","10 - 14 years","Ireland","Number","191114"
"Population","2022","Male","10 - 14 years","Northern Ireland","Number","66103"
"Population","2022","Male","15 - 19 years","Ireland","Number","172342"
"Population","2022","Male","15 - 19 years","Northern Ireland","Number","59940"
"Population","2022","Male","20 - 24 years","Ireland","Number","155446"
"Population","2022","Male","20 - 24 years","Northern Ireland","Number","54699"
"Population","2022","Male","25 - 29 years","Ireland","Number","147398"
"Population","2022","Male","25 - 29 years","Northern Ireland","Number","57839"
"Population","2022","Male","30 - 34 years","Ireland","Number","160517"
"Population","2022","Male","30 - 34 years","Northern Ireland","Number","60587"
"Population","2022","Male","35 - 39 years","Ireland","Number","183212"
"Population","2022","Male","35 - 39 years","Northern Ireland","Number","62287"
"Population","2022","Male","40 - 44 years","Ireland","Number","200561"
"Population","2022","Male","40 - 44 years","Northern Ireland","Number","60428"
"Population","2022","Male","45 - 49 years","Ireland","Number","185174"
"Population","2022","Male","45 - 49 years","Northern Ireland","Number","58097"
"Population","2022","Male","50 - 54 years","Ireland","Number","169993"
"Population","2022","Male","50 - 54 years","Northern Ireland","Number","63344"
"Population","2022","Male","55 - 59 years","Ireland","Number","151899"
"Population","2022","Male","55 - 59 years","Northern Ireland","Number","64027"
"Population","2022","Male","60 - 64 years","Ireland","Number","134431"
"Population","2022","Male","60 - 64 years","Northern Ireland","Number","56969"
"Population","2022","Male","65 - 69 years","Ireland","Number","117382"
"Population","2022","Male","65 - 69 years","Northern Ireland","Number","47829"
"Population","2022","Male","70 - 74 years","Ireland","Number","99281"
"Population","2022","Male","70 - 74 years","Northern Ireland","Number","40134"
"Population","2022","Male","75 - 79 years","Ireland","Number","73726"
"Population","2022","Male","75 - 79 years","Northern Ireland","Number","32470"
"Population","2022","Male","80 - 84 years","Ireland","Number","43588"
"Population","2022","Male","80 - 84 years","Northern Ireland","Number","19728"
"Population","2022","Male","85 years and over","Ireland","Number","31607"
"Population","2022","Male","85 years and over","Northern Ireland","Number","14775"
"Population","2022","Female","All ages","Ireland","Number","2604590"
"Population","2022","Female","All ages","Northern Ireland","Number","970596"
"Population","2022","Female","0 - 4 years","Ireland","Number","144007"
"Population","2022","Female","0 - 4 years","Northern Ireland","Number","54565"
"Population","2022","Female","5 - 9 years","Ireland","Number","167200"
"Population","2022","Female","5 - 9 years","Northern Ireland","Number","60334"
"Population","2022","Female","10 - 14 years","Ireland","Number","183088"
"Population","2022","Female","10 - 14 years","Northern Ireland","Number","63186"
"Population","2022","Female","15 - 19 years","Ireland","Number","165286"
"Population","2022","Female","15 - 19 years","Northern Ireland","Number","56224"
"Population","2022","Female","20 - 24 years","Ireland","Number","151697"
"Population","2022","Female","20 - 24 years","Northern Ireland","Number","50705"
"Population","2022","Female","25 - 29 years","Ireland","Number","148410"
"Population","2022","Female","25 - 29 years","Northern Ireland","Number","57391"
"Population","2022","Female","30 - 34 years","Ireland","Number","171706"
"Population","2022","Female","30 - 34 years","Northern Ireland","Number","64202"
"Population","2022","Female","35 - 39 years","Ireland","Number","199657"
"Population","2022","Female","35 - 39 years","Northern Ireland","Number","66539"
"Population","2022","Female","40 - 44 years","Ireland","Number","210963"
"Population","2022","Female","40 - 44 years","Northern Ireland","Number","64703"
"Population","2022","Female","45 - 49 years","Ireland","Number","188330"
"Population","2022","Female","45 - 49 years","Northern Ireland","Number","60331"
"Population","2022","Female","50 - 54 years","Ireland","Number","170010"
"Population","2022","Female","50 - 54 years","Northern Ireland","Number","65859"
"Population","2022","Female","55 - 59 years","Ireland","Number","155266"
"Population","2022","Female","55 - 59 years","Northern Ireland","Number","66357"
"Population","2022","Female","60 - 64 years","Ireland","Number","138239"
"Population","2022","Female","60 - 64 years","Northern Ireland","Number","59687"
"Population","2022","Female","65 - 69 years","Ireland","Number","120762"
"Population","2022","Female","65 - 69 years","Northern Ireland","Number","48682"
"Population","2022","Female","70 - 74 years","Ireland","Number","103603"
"Population","2022","Female","70 - 74 years","Northern Ireland","Number","42619"
"Population","2022","Female","75 - 79 years","Ireland","Number","80534"
"Population","2022","Female","75 - 79 years","Northern Ireland","Number","37570"
"Population","2022","Female","80 - 84 years","Ireland","Number","52998"
"Population","2022","Female","80 - 84 years","Northern Ireland","Number","25334"
"Population","2022","Female","85 years and over","Ireland","Number","52834"
"Population","2022","Female","85 years and over","Northern Ireland","Number","26308"
"Percentage of Population","2022","Both sexes","All ages","Ireland","%","100"
"Percentage of Population","2022","Both sexes","All ages","Northern Ireland","%","100"
"Percentage of Population","2022","Both sexes","0 - 4 years","Ireland","%","5.7"
"Percentage of Population","2022","Both sexes","0 - 4 years","Northern Ireland","%","5.9"
"Percentage of Population","2022","Both sexes","5 - 9 years","Ireland","%","6.7"
"Percentage of Population","2022","Both sexes","5 - 9 years","Northern Ireland","%","6.5"
"Percentage of Population","2022","Both sexes","10 - 14 years","Ireland","%","7.3"
"Percentage of Population","2022","Both sexes","10 - 14 years","Northern Ireland","%","6.8"
"Percentage of Population","2022","Both sexes","15 - 19 years","Ireland","%","6.6"
"Percentage of Population","2022","Both sexes","15 - 19 years","Northern Ireland","%","6.1"
"Percentage of Population","2022","Both sexes","20 - 24 years","Ireland","%","6"
"Percentage of Population","2022","Both sexes","20 - 24 years","Northern Ireland","%","5.5"
"Percentage of Population","2022","Both sexes","25 - 29 years","Ireland","%","5.7"
"Percentage of Population","2022","Both sexes","25 - 29 years","Northern Ireland","%","6"
"Percentage of Population","2022","Both sexes","30 - 34 years","Ireland","%","6.5"
"Percentage of Population","2022","Both sexes","30 - 34 years","Northern Ireland","%","6.5"
"Percentage of Population","2022","Both sexes","35 - 39 years","Ireland","%","7.4"
"Percentage of Population","2022","Both sexes","35 - 39 years","Northern Ireland","%","6.7"
"Percentage of Population","2022","Both sexes","40 - 44 years","Ireland","%","8"
"Percentage of Population","2022","Both sexes","40 - 44 years","Northern Ireland","%","6.5"
"Percentage of Population","2022","Both sexes","45 - 49 years","Ireland","%","7.3"
"Percentage of Population","2022","Both sexes","45 - 49 years","Northern Ireland","%","6.2"
"Percentage of Population","2022","Both sexes","50 - 54 years","Ireland","%","6.6"
"Percentage of Population","2022","Both sexes","50 - 54 years","Northern Ireland","%","6.8"
"Percentage of Population","2022","Both sexes","55 - 59 years","Ireland","%","6"
"Percentage of Population","2022","Both sexes","55 - 59 years","Northern Ireland","%","6.8"
"Percentage of Population","2022","Both sexes","60 - 64 years","Ireland","%","5.3"
"Percentage of Population","2022","Both sexes","60 - 64 years","Northern Ireland","%","6.1"
"Percentage of Population","2022","Both sexes","65 - 69 years","Ireland","%","4.6"
"Percentage of Population","2022","Both sexes","65 - 69 years","Northern Ireland","%","5.1"
"Percentage of Population","2022","Both sexes","70 - 74 years","Ireland","%","3.9"
"Percentage of Population","2022","Both sexes","70 - 74 years","Northern Ireland","%","4.3"
"Percentage of Population","2022","Both sexes","75 - 79 years","Ireland","%","3"
"Percentage of Population","2022","Both sexes","75 - 79 years","Northern Ireland","%","3.7"
"Percentage of Population","2022","Both sexes","80 - 84 years","Ireland","%","1.9"
"Percentage of Population","2022","Both sexes","80 - 84 years","Northern Ireland","%","2.4"
"Percentage of Population","2022","Both sexes","85 years and over","Ireland","%","1.6"
"Percentage of Population","2022","Both sexes","85 years and over","Northern Ireland","%","2.2"
"Percentage of Population","2022","Male","All ages","Ireland","%","49.4"
"Percentage of Population","2022","Male","All ages","Northern Ireland","%","49.2"
"Percentage of Population","2022","Male","0 - 4 years","Ireland","%","2.9"
"Percentage of Population","2022","Male","0 - 4 years","Northern Ireland","%","3"
"Percentage of Population","2022","Male","5 - 9 years","Ireland","%","3.4"
"Percentage of Population","2022","Male","5 - 9 years","Northern Ireland","%","3.3"
"Percentage of Population","2022","Male","10 - 14 years","Ireland","%","3.7"
"Percentage of Population","2022","Male","10 - 14 years","Northern Ireland","%","3.5"
"Percentage of Population","2022","Male","15 - 19 years","Ireland","%","3.3"
"Percentage of Population","2022","Male","15 - 19 years","Northern Ireland","%","3.1"
