"Statistic Label","Year","Sex","Ireland and Northern Ireland","UNIT","VALUE"
"Median Age","1971","Both sexes","Ireland","Number","27"
"Median Age","1971","Both sexes","Northern Ireland","Number","28"
"Median Age","1971","Male","Ireland","Number","26"
"Median Age","1971","Male","Northern Ireland","Number","27"
"Median Age","1971","Female","Ireland","Number","27"
"Median Age","1971","Female","Northern Ireland","Number","30"
"Median Age","1979","Both sexes","Ireland","Number","26"
"Median Age","1979","Both sexes","Northern Ireland","Number","29"
"Median Age","1979","Male","Ireland","Number","25"
"Median Age","1979","Male","Northern Ireland","Number","27"
"Median Age","1979","Female","Ireland","Number","27"
"Median Age","1979","Female","Northern Ireland","Number","31"
"Median Age","1981","Both sexes","Ireland","Number","26"
"Median Age","1981","Both sexes","Northern Ireland","Number","29"
"Median Age","1981","Male","Ireland","Number","25"
"Median Age","1981","Male","Northern Ireland","Number","27"
"Median Age","1981","Female","Ireland","Number","27"
"Median Age","1981","Female","Northern Ireland","Number","31"
"Median Age","1986","Both sexes","Ireland","Number","27"
"Median Age","1986","Both sexes","Northern Ireland","Number","30"
"Median Age","1986","Male","Ireland","Number","26"
"Median Age","1986","Male","Northern Ireland","Number","28"
"Median Age","1986","Female","Ireland","Number","28"
"Median Age","1986","Female","Northern Ireland","Number","32"
"Median Age","1991","Both sexes","Ireland","Number","29"
"Median Age","1991","Both sexes","Northern Ireland","Number","31"
"Median Age","1991","Male","Ireland","Number","28"
"Median Age","1991","Male","Northern Ireland","Number","30"
"Median Age","1991","Female","Ireland","Number","30"
"Median Age","1991","Female","Northern Ireland","Number","33"
"Median Age","1996","Both sexes","Ireland","Number","31"
"Median Age","1996","Both sexes","Northern Ireland","Number","33"
"Median Age","1996","Male","Ireland","Number","30"
"Median Age","1996","Male","Northern Ireland","Number","31"
"Median Age","1996","Female","Ireland","Number","32"
"Median Age","1996","Female","Northern Ireland","Number","34"
"Median Age","2002","Both sexes","Ireland","Number","32"
"Median Age","2002","Both sexes","Northern Ireland","Number","35"
"Median Age","2002","Male","Ireland","Number","31"
"Median Age","2002","Male","Northern Ireland","Number","34"
"Median Age","2002","Female","Ireland","Number","32"
"Median Age","2002","Female","Northern Ireland","Number","36"
"Median Age","2006","Both sexes","Ireland","Number","33"
"Median Age","2006","Both sexes","Northern Ireland","Number","36"
"Median Age","2006","Male","Ireland","Number","33"
"Median Age","2006","Male","Northern Ireland","Number","35"
"Median Age","2006","Female","Ireland","Number","34"
"Median Age","2006","Female","Northern Ireland","Number","37"
"Median Age","2011","Both sexes","Ireland","Number","34"
"Median Age","2011","Both sexes","Northern Ireland","Number","37"
"Median Age","2011","Male","Ireland","Number","33"
"Median Age","2011","Male","Northern Ireland","Number","36"
"Median Age","2011","Female","Ireland","Number","34"
"Median Age","2011","Female","Northern Ireland","Number","38"
"Median Age","2016","Both sexes","Ireland","Number","36"
"Median Age","2016","Both sexes","Northern Ireland","Number","38"
"Median Age","2016","Male","Ireland","Number","35"
"Median Age","2016","Male","Northern Ireland","Number","37"
"Median Age","2016","Female","Ireland","Number","36"
"Median Age","2016","Female","Northern Ireland","Number","39"
"Median Age","2022","Both sexes","Ireland","Number","38"
"Median Age","2022","Both sexes","Northern Ireland","Number","40"
"Median Age","2022","Male","Ireland","Number","38"
"Median Age","2022","Male","Northern Ireland","Number","39"
"Median Age","2022","Female","Ireland","Number","39"
"Median Age","2022","Female","Northern Ireland","Number","41"
