"Statistic Label","Census Year","Sex","Ireland and Northern Ireland","UNIT","VALUE"
"Total dependency (All ages)","1926","Both sexes","Ireland","Ratio","62.18830375"
"Total dependency (All ages)","1926","Both sexes","Northern Ireland","Ratio","58.98992839"
"Total dependency (All ages)","1926","Male","Ireland","Ratio","60.89580829"
"Total dependency (All ages)","1926","Male","Northern Ireland","Ratio","60.98909245"
"Total dependency (All ages)","1926","Female","Ireland","Ratio","63.53950513"
"Total dependency (All ages)","1926","Female","Northern Ireland","Ratio","57.15985653"
"Total dependency (All ages)","1936/1937","Both sexes","Ireland","Ratio","59.47740931"
"Total dependency (All ages)","1936/1937","Both sexes","Northern Ireland","Ratio","56.59889967"
"Total dependency (All ages)","1936/1937","Male","Ireland","Ratio","57.86985026"
"Total dependency (All ages)","1936/1937","Male","Northern Ireland","Ratio","58.48230294"
"Total dependency (All ages)","1936/1937","Female","Ireland","Ratio","61.2010652"
"Total dependency (All ages)","1936/1937","Female","Northern Ireland","Ratio","54.85235053"
"Total dependency (All ages)","1946","Both sexes","Ireland","Ratio","62.56699113"
"Total dependency (All ages)","1946","Both sexes","Northern Ireland","Ratio",""
"Total dependency (All ages)","1946","Male","Ireland","Ratio","62.43207444"
"Total dependency (All ages)","1946","Male","Northern Ireland","Ratio",""
"Total dependency (All ages)","1946","Female","Ireland","Ratio","62.70534135"
"Total dependency (All ages)","1946","Female","Northern Ireland","Ratio",""
"Total dependency (All ages)","1951","Both sexes","Ireland","Ratio","65.45245536"
"Total dependency (All ages)","1951","Both sexes","Northern Ireland","Ratio","59.9318005"
"Total dependency (All ages)","1951","Male","Ireland","Ratio","64.63525776"
"Total dependency (All ages)","1951","Male","Northern Ireland","Ratio","61.5192243"
"Total dependency (All ages)","1951","Female","Ireland","Ratio","66.30781901"
"Total dependency (All ages)","1951","Female","Northern Ireland","Ratio","58.45266266"
"Total dependency (All ages)","1961","Both sexes","Ireland","Ratio","73.32767944"
"Total dependency (All ages)","1961","Both sexes","Northern Ireland","Ratio","63.97717505"
"Total dependency (All ages)","1961","Male","Ireland","Ratio","73.06730882"
"Total dependency (All ages)","1961","Male","Northern Ireland","Ratio","64.74619711"
"Total dependency (All ages)","1961","Female","Ireland","Ratio","73.5915881"
"Total dependency (All ages)","1961","Female","Northern Ireland","Ratio","63.25327984"
"Total dependency (All ages)","1966","Both sexes","Ireland","Ratio","73.67239171"
"Total dependency (All ages)","1966","Both sexes","Northern Ireland","Ratio","66.88546775"
"Total dependency (All ages)","1966","Male","Ireland","Ratio","72.57016686"
"Total dependency (All ages)","1966","Male","Northern Ireland","Ratio","67.0529809"
"Total dependency (All ages)","1966","Female","Ireland","Ratio","74.79979828"
"Total dependency (All ages)","1966","Female","Northern Ireland","Ratio","66.72641338"
"Total dependency (All ages)","1971","Both sexes","Ireland","Ratio","73.42851503"
"Total dependency (All ages)","1971","Both sexes","Northern Ireland","Ratio","67.85181133"
"Total dependency (All ages)","1971","Male","Ireland","Ratio","72.05755651"
"Total dependency (All ages)","1971","Male","Northern Ireland","Ratio","65.84281466"
"Total dependency (All ages)","1971","Female","Ireland","Ratio","74.83406845"
"Total dependency (All ages)","1971","Female","Northern Ireland","Ratio","69.82742784"
"Total dependency (All ages)","1979","Both sexes","Ireland","Ratio","70.37579403"
"Total dependency (All ages)","1979","Both sexes","Northern Ireland","Ratio","65.03562581"
"Total dependency (All ages)","1979","Male","Ireland","Ratio","68.77463186"
"Total dependency (All ages)","1979","Male","Northern Ireland","Ratio","61.80361975"
"Total dependency (All ages)","1979","Female","Ireland","Ratio","72.02565577"
"Total dependency (All ages)","1979","Female","Northern Ireland","Ratio","68.31984533"
"Total dependency (All ages)","1981","Both sexes","Ireland","Ratio","69.56555353"
"Total dependency (All ages)","1981","Both sexes","Northern Ireland","Ratio","64.01494133"
"Total dependency (All ages)","1981","Male","Ireland","Ratio","68.1004936"
"Total dependency (All ages)","1981","Male","Northern Ireland","Ratio","61.21007966"
"Total dependency (All ages)","1981","Female","Ireland","Ratio","71.06980319"
"Total dependency (All ages)","1981","Female","Northern Ireland","Ratio","66.80752219"
"Total dependency (All ages)","1986","Both sexes","Ireland","Ratio","66.103612"
"Total dependency (All ages)","1986","Both sexes","Northern Ireland","Ratio","60.14739454"
"Total dependency (All ages)","1986","Male","Ireland","Ratio","64.57440764"
"Total dependency (All ages)","1986","Male","Northern Ireland","Ratio","57.39231784"
"Total dependency (All ages)","1986","Female","Ireland","Ratio","67.66037979"
"Total dependency (All ages)","1986","Female","Northern Ireland","Ratio","62.86824575"
"Total dependency (All ages)","1991","Both sexes","Ireland","Ratio","61.56384824"
"Total dependency (All ages)","1991","Both sexes","Northern Ireland","Ratio","59.56911341"
"Total dependency (All ages)","1991","Male","Ireland","Ratio","59.85868688"
"Total dependency (All ages)","1991","Male","Northern Ireland","Ratio","56.71870279"
"Total dependency (All ages)","1991","Female","Ireland","Ratio","63.28702126"
"Total dependency (All ages)","1991","Female","Northern Ireland","Ratio","62.3755061"
"Total dependency (All ages)","1996","Both sexes","Ireland","Ratio","54.11918916"
"Total dependency (All ages)","1996","Both sexes","Northern Ireland","Ratio","57.3002215"
"Total dependency (All ages)","1996","Male","Ireland","Ratio","52.36473448"
"Total dependency (All ages)","1996","Male","Northern Ireland","Ratio","54.43947231"
"Total dependency (All ages)","1996","Female","Ireland","Ratio","55.88903508"
"Total dependency (All ages)","1996","Female","Northern Ireland","Ratio","60.12322321"
"Total dependency (All ages)","2002","Both sexes","Ireland","Ratio","47.60876397"
"Total dependency (All ages)","2002","Both sexes","Northern Ireland","Ratio","53.44981727"
"Total dependency (All ages)","2002","Male","Ireland","Ratio","46.00263323"
"Total dependency (All ages)","2002","Male","Northern Ireland","Ratio","51.10165722"
"Total dependency (All ages)","2002","Female","Ireland","Ratio","49.22967666"
"Total dependency (All ages)","2002","Female","Northern Ireland","Ratio","55.76011578"
"Total dependency (All ages)","2006","Both sexes","Ireland","Ratio","45.82587697"
"Total dependency (All ages)","2006","Both sexes","Northern Ireland","Ratio","51.06156551"
"Total dependency (All ages)","2006","Male","Ireland","Ratio","44.19611538"
"Total dependency (All ages)","2006","Male","Northern Ireland","Ratio","48.95006364"
"Total dependency (All ages)","2006","Female","Ireland","Ratio","47.49488493"
"Total dependency (All ages)","2006","Female","Northern Ireland","Ratio","53.14250809"
"Total dependency (All ages)","2011","Both sexes","Ireland","Ratio","49.29548959"
"Total dependency (All ages)","2011","Both sexes","Northern Ireland","Ratio","52.17048158"
"Total dependency (All ages)","2011","Male","Ireland","Ratio","48.71776919"
"Total dependency (All ages)","2011","Male","Northern Ireland","Ratio","50.50296158"
"Total dependency (All ages)","2011","Female","Ireland","Ratio","49.86689949"
"Total dependency (All ages)","2011","Female","Northern Ireland","Ratio","53.80890699"
"Total dependency (All ages)","2016","Both sexes","Ireland","Ratio","52.73421889"
"Total dependency (All ages)","2016","Both sexes","Northern Ireland","Ratio","55.04379515"
"Total dependency (All ages)","2016","Male","Ireland","Ratio","52.58649965"
"Total dependency (All ages)","2016","Male","Northern Ireland","Ratio","53.76176653"
"Total dependency (All ages)","2016","Female","Ireland","Ratio","52.87896242"
"Total dependency (All ages)","2016","Female","Northern Ireland","Ratio","56.30130944"
"Total dependency (All ages)","2022","Both sexes","Ireland","Ratio","53.22369609"
"Total dependency (All ages)","2022","Both sexes","Northern Ireland","Ratio","57.86806477"
"Total dependency (All ages)","2022","Male","Ireland","Ratio","53.19628916"
"Total dependency (All ages)","2022","Male","Northern Ireland","Ratio","57.12475573"
"Total dependency (All ages)","2022","Female","Ireland","Ratio","53.25048071"
"Total dependency (All ages)","2022","Female","Northern Ireland","Ratio","58.59463593"
"Young dependency (0 - 14 years)","1926","Both sexes","Ireland","Ratio","47.36211365"
"Young dependency (0 - 14 years)","1926","Both sexes","Northern Ireland","Ratio","46.10737151"
"Young dependency (0 - 14 years)","1926","Male","Ireland","Ratio","47.16729912"
"Young dependency (0 - 14 years)","1926","Male","Northern Ireland","Ratio","48.88753574"
"Young dependency (0 - 14 years)","1926","Female","Ireland","Ratio","47.56577677"
"Young dependency (0 - 14 years)","1926","Female","Northern Ireland","Ratio","43.56235762"
"Young dependency (0 - 14 years)","1936/1937","Both sexes","Ireland","Ratio","44.07540366"
"Young dependency (0 - 14 years)","1936/1937","Both sexes","Northern Ireland","Ratio","42.44981718"
"Young dependency (0 - 14 years)","1936/1937","Male","Ireland","Ratio","43.2385428"
"Young dependency (0 - 14 years)","1936/1937","Male","Northern Ireland","Ratio","44.94189994"
"Young dependency (0 - 14 years)","1936/1937","Female","Ireland","Ratio","44.97270205"
"Young dependency (0 - 14 years)","1936/1937","Female","Northern Ireland","Ratio","40.13881715"
"Young dependency (0 - 14 years)","1946","Both sexes","Ireland","Ratio","45.27544068"
"Young dependency (0 - 14 years)","1946","Both sexes","Northern Ireland","Ratio",""
"Young dependency (0 - 14 years)","1946","Male","Ireland","Ratio","45.52644818"
"Young dependency (0 - 14 years)","1946","Male","Northern Ireland","Ratio",""
"Young dependency (0 - 14 years)","1946","Female","Ireland","Ratio","45.01804519"
"Young dependency (0 - 14 years)","1946","Female","Northern Ireland","Ratio",""
"Young dependency (0 - 14 years)","1951","Both sexes","Ireland","Ratio","47.77097472"
"Young dependency (0 - 14 years)","1951","Both sexes","Northern Ireland","Ratio","44.18350169"
"Young dependency (0 - 14 years)","1951","Male","Ireland","Ratio","47.69328782"
"Young dependency (0 - 14 years)","1951","Male","Northern Ireland","Ratio","46.82666563"
"Young dependency (0 - 14 years)","1951","Female","Ireland","Ratio","47.85228988"
"Young dependency (0 - 14 years)","1951","Female","Northern Ireland","Ratio","41.72064093"
"Young dependency (0 - 14 years)","1961","Both sexes","Ireland","Ratio","53.95133759"
"Young dependency (0 - 14 years)","1961","Both sexes","Northern Ireland","Ratio","47.423563"
"Young dependency (0 - 14 years)","1961","Male","Ireland","Ratio","54.82494722"
"Young dependency (0 - 14 years)","1961","Male","Northern Ireland","Ratio","50.21001922"
"Young dependency (0 - 14 years)","1961","Female","Ireland","Ratio","53.06585695"
"Young dependency (0 - 14 years)","1961","Female","Northern Ireland","Ratio","44.80061833"
"Young dependency (0 - 14 years)","1966","Both sexes","Ireland","Ratio","54.22115755"
"Young dependency (0 - 14 years)","1966","Both sexes","Northern Ireland","Ratio","49.33275036"
"Young dependency (0 - 14 years)","1966","Male","Ireland","Ratio","54.71222863"
"Young dependency (0 - 14 years)","1966","Male","Northern Ireland","Ratio","52.1235744"
"Young dependency (0 - 14 years)","1966","Female","Ireland","Ratio","53.71886732"
"Young dependency (0 - 14 years)","1966","Female","Northern Ireland","Ratio","46.68285233"
"Young dependency (0 - 14 years)","1971","Both sexes","Ireland","Ratio","54.22258611"
"Young dependency (0 - 14 years)","1971","Both sexes","Northern Ireland","Ratio","49.75504565"
"Young dependency (0 - 14 years)","1971","Male","Ireland","Ratio","54.72975382"
"Young dependency (0 - 14 years)","1971","Male","Northern Ireland","Ratio","51.06270755"
"Young dependency (0 - 14 years)","1971","Female","Ireland","Ratio","53.70262047"
"Young dependency (0 - 14 years)","1971","Female","Northern Ireland","Ratio","48.46911099"
"Young dependency (0 - 14 years)","1979","Both sexes","Ireland","Ratio","52.09622577"
"Young dependency (0 - 14 years)","1979","Both sexes","Northern Ireland","Ratio","45.73494569"
"Young dependency (0 - 14 years)","1979","Male","Ireland","Ratio","52.53101346"
"Young dependency (0 - 14 years)","1979","Male","Northern Ireland","Ratio","46.66125296"
"Young dependency (0 - 14 years)","1979","Female","Ireland","Ratio","51.64821396"
"Young dependency (0 - 14 years)","1979","Female","Northern Ireland","Ratio","44.79367381"
"Young dependency (0 - 14 years)","1981","Both sexes","Ireland","Ratio","51.39694158"
"Young dependency (0 - 14 years)","1981","Both sexes","Northern Ireland","Ratio","44.06715522"
"Young dependency (0 - 14 years)","1981","Male","Ireland","Ratio","52.04401018"
"Young dependency (0 - 14 years)","1981","Male","Northern Ireland","Ratio","45.33015441"
"Young dependency (0 - 14 years)","1981","Female","Ireland","Ratio","50.73256417"
"Young dependency (0 - 14 years)","1981","Female","Northern Ireland","Ratio","42.80968594"
"Young dependency (0 - 14 years)","1986","Both sexes","Ireland","Ratio","48.07221099"
"Young dependency (0 - 14 years)","1986","Both sexes","Northern Ireland","Ratio","40.22073559"
"Young dependency (0 - 14 years)","1986","Male","Ireland","Ratio","48.88306939"
"Young dependency (0 - 14 years)","1986","Male","Northern Ireland","Ratio","41.52102844"
"Young dependency (0 - 14 years)","1986","Female","Ireland","Ratio","47.24673712"
"Young dependency (0 - 14 years)","1986","Female","Northern Ireland","Ratio","38.93659588"
"Young dependency (0 - 14 years)","1991","Both sexes","Ireland","Ratio","43.10120999"
"Young dependency (0 - 14 years)","1991","Both sexes","Northern Ireland","Ratio","38.89207682"
"Young dependency (0 - 14 years)","1991","Male","Ireland","Ratio","44.02022145"
"Young dependency (0 - 14 years)","1991","Male","Northern Ireland","Ratio","40.12871285"
"Young dependency (0 - 14 years)","1991","Female","Ireland","Ratio","42.17249099"
"Young dependency (0 - 14 years)","1991","Female","Northern Ireland","Ratio","37.67453773"
"Young dependency (0 - 14 years)","1996","Both sexes","Ireland","Ratio","36.52800664"
"Young dependency (0 - 14 years)","1996","Both sexes","Northern Ireland","Ratio","36.77741807"
"Young dependency (0 - 14 years)","1996","Male","Ireland","Ratio","37.36280477"
"Young dependency (0 - 14 years)","1996","Male","Northern Ireland","Ratio","37.88016817"
"Young dependency (0 - 14 years)","1996","Female","Ireland","Ratio","35.68588512"
"Young dependency (0 - 14 years)","1996","Female","Northern Ireland","Ratio","35.68921872"
"Young dependency (0 - 14 years)","2002","Both sexes","Ireland","Ratio","31.17929409"
"Young dependency (0 - 14 years)","2002","Both sexes","Northern Ireland","Ratio","32.94544528"
"Young dependency (0 - 14 years)","2002","Male","Ireland","Ratio","31.81208809"
"Young dependency (0 - 14 years)","2002","Male","Northern Ireland","Ratio","34.06424754"
"Young dependency (0 - 14 years)","2002","Female","Ireland","Ratio","30.54067621"
"Young dependency (0 - 14 years)","2002","Female","Northern Ireland","Ratio","31.84468248"
"Young dependency (0 - 14 years)","2006","Both sexes","Ireland","Ratio","29.73197"
"Young dependency (0 - 14 years)","2006","Both sexes","Northern Ireland","Ratio","30.43168915"
"Young dependency (0 - 14 years)","2006","Male","Ireland","Ratio","30.11790362"
"Young dependency (0 - 14 years)","2006","Male","Northern Ireland","Ratio","31.43366466"
"Young dependency (0 - 14 years)","2006","Female","Ireland","Ratio","29.33674269"
"Young dependency (0 - 14 years)","2006","Female","Northern Ireland","Ratio","29.44421502"
"Young dependency (0 - 14 years)","2011","Both sexes","Ireland","Ratio","31.87452839"
"Young dependency (0 - 14 years)","2011","Both sexes","Northern Ireland","Ratio","29.88049079"
"Young dependency (0 - 14 years)","2011","Male","Ireland","Ratio","32.79612039"
"Young dependency (0 - 14 years)","2011","Male","Northern Ireland","Ratio","30.92046031"
"Young dependency (0 - 14 years)","2011","Female","Ireland","Ratio","30.96300304"
"Young dependency (0 - 14 years)","2011","Female","Northern Ireland","Ratio","28.85866646"
"Young dependency (0 - 14 years)","2016","Both sexes","Ireland","Ratio","32.28460561"
"Young dependency (0 - 14 years)","2016","Both sexes","Northern Ireland","Ratio","30.217987"
"Young dependency (0 - 14 years)","2016","Male","Ireland","Ratio","33.34899534"
"Young dependency (0 - 14 years)","2016","Male","Northern Ireland","Ratio","31.24721043"
"Young dependency (0 - 14 years)","2016","Female","Ireland","Ratio","31.24165732"
"Young dependency (0 - 14 years)","2016","Female","Northern Ireland","Ratio","29.20844388"
"Young dependency (0 - 14 years)","2022","Both sexes","Ireland","Ratio","30.12277502"
"Young dependency (0 - 14 years)","2022","Both sexes","Northern Ireland","Ratio","30.14993204"
"Young dependency (0 - 14 years)","2022","Male","Ireland","Ratio","31.18605781"
"Young dependency (0 - 14 years)","2022","Male","Northern Ireland","Ratio","31.22512399"
"Young dependency (0 - 14 years)","2022","Female","Ireland","Ratio","29.08363557"
"Young dependency (0 - 14 years)","2022","Female","Northern Ireland","Ratio","29.0989513"
"Old dependency (65 years and over)","1926","Both sexes","Ireland","Ratio","14.8261901"
"Old dependency (65 years and over)","1926","Both sexes","Northern Ireland","Ratio","12.88255687"
"Old dependency (65 years and over)","1926","Male","Ireland","Ratio","13.72850916"
"Old dependency (65 years and over)","1926","Male","Northern Ireland","Ratio","12.10155671"
"Old dependency (65 years and over)","1926","Female","Ireland","Ratio","15.97372836"
"Old dependency (65 years and over)","1926","Female","Northern Ireland","Ratio","13.59749891"
"Old dependency (65 years and over)","1936/1937","Both sexes","Ireland","Ratio","15.40200565"
"Old dependency (65 years and over)","1936/1937","Both sexes","Northern Ireland","Ratio","14.14908249"
"Old dependency (65 years and over)","1936/1937","Male","Ireland","Ratio","14.63130746"
"Old dependency (65 years and over)","1936/1937","Male","Northern Ireland","Ratio","13.540403"
