"Statistic Label","Census Year","Ireland and Northern Ireland","Sex","Principal Economic Status","UNIT","VALUE"
"Population usually resident age 16 years and over","2021/2022","Ireland","Both sexes","Persons at work","Number","2382483"
"Population usually resident age 16 years and over","2021/2022","Ireland","Both sexes","All unemployed persons","Number","115789"
"Population usually resident age 16 years and over","2021/2022","Ireland","Both sexes","All persons in labour force","Number","2498272"
"Population usually resident age 16 years and over","2021/2022","Ireland","Male","Persons at work","Number","1274867"
"Population usually resident age 16 years and over","2021/2022","Ireland","Male","All unemployed persons","Number","61959"
"Population usually resident age 16 years and over","2021/2022","Ireland","Male","All persons in labour force","Number","1336825"
"Population usually resident age 16 years and over","2021/2022","Ireland","Female","Persons at work","Number","1107616"
"Population usually resident age 16 years and over","2021/2022","Ireland","Female","All unemployed persons","Number","53830"
"Population usually resident age 16 years and over","2021/2022","Ireland","Female","All persons in labour force","Number","1161447"
"Population usually resident age 16 years and over","2021/2022","Northern Ireland","Both sexes","Persons at work","Number","849108"
"Population usually resident age 16 years and over","2021/2022","Northern Ireland","Both sexes","All unemployed persons","Number","41926"
"Population usually resident age 16 years and over","2021/2022","Northern Ireland","Both sexes","All persons in labour force","Number","891034"
"Population usually resident age 16 years and over","2021/2022","Northern Ireland","Male","Persons at work","Number","442024"
"Population usually resident age 16 years and over","2021/2022","Northern Ireland","Male","All unemployed persons","Number","25015"
"Population usually resident age 16 years and over","2021/2022","Northern Ireland","Male","All persons in labour force","Number","467039"
"Population usually resident age 16 years and over","2021/2022","Northern Ireland","Female","Persons at work","Number","407084"
"Population usually resident age 16 years and over","2021/2022","Northern Ireland","Female","All unemployed persons","Number","16911"
"Population usually resident age 16 years and over","2021/2022","Northern Ireland","Female","All persons in labour force","Number","423995"
"Percentage of Population usually resident age 16 years and over","2021/2022","Ireland","Both sexes","Persons at work","%","95.4"
"Percentage of Population usually resident age 16 years and over","2021/2022","Ireland","Both sexes","All unemployed persons","%","4.6"
"Percentage of Population usually resident age 16 years and over","2021/2022","Ireland","Both sexes","All persons in labour force","%","100"
"Percentage of Population usually resident age 16 years and over","2021/2022","Ireland","Male","Persons at work","%","95.4"
"Percentage of Population usually resident age 16 years and over","2021/2022","Ireland","Male","All unemployed persons","%","4.6"
"Percentage of Population usually resident age 16 years and over","2021/2022","Ireland","Male","All persons in labour force","%","100"
"Percentage of Population usually resident age 16 years and over","2021/2022","Ireland","Female","Persons at work","%","95.4"
"Percentage of Population usually resident age 16 years and over","2021/2022","Ireland","Female","All unemployed persons","%","4.6"
"Percentage of Population usually resident age 16 years and over","2021/2022","Ireland","Female","All persons in labour force","%","100"
"Percentage of Population usually resident age 16 years and over","2021/2022","Northern Ireland","Both sexes","Persons at work","%","95.3"
"Percentage of Population usually resident age 16 years and over","2021/2022","Northern Ireland","Both sexes","All unemployed persons","%","4.7"
"Percentage of Population usually resident age 16 years and over","2021/2022","Northern Ireland","Both sexes","All persons in labour force","%","100"
"Percentage of Population usually resident age 16 years and over","2021/2022","Northern Ireland","Male","Persons at work","%","94.6"
"Percentage of Population usually resident age 16 years and over","2021/2022","Northern Ireland","Male","All unemployed persons","%","5.4"
"Percentage of Population usually resident age 16 years and over","2021/2022","Northern Ireland","Male","All persons in labour force","%","100"
"Percentage of Population usually resident age 16 years and over","2021/2022","Northern Ireland","Female","Persons at work","%","96"
"Percentage of Population usually resident age 16 years and over","2021/2022","Northern Ireland","Female","All unemployed persons","%","4"
"Percentage of Population usually resident age 16 years and over","2021/2022","Northern Ireland","Female","All persons in labour force","%","100"
