"Statistic Label","Census Year","Broad Industry Group","Ireland and Northern Ireland","UNIT","VALUE"
"Usual residents aged 16 years and over in employment","2021/2022","Total at work","Ireland","Number","2291934"
"Usual residents aged 16 years and over in employment","2021/2022","Total at work","Northern Ireland","Number","849106"
"Usual residents aged 16 years and over in employment","2021/2022","Agriculture, forestry and fishing (A)","Ireland","Number","81869"
"Usual residents aged 16 years and over in employment","2021/2022","Agriculture, forestry and fishing (A)","Northern Ireland","Number","21367"
"Usual residents aged 16 years and over in employment","2021/2022","Mining and quarrying (B)","Ireland","Number","4671"
"Usual residents aged 16 years and over in employment","2021/2022","Mining and quarrying (B)","Northern Ireland","Number","1763"
"Usual residents aged 16 years and over in employment","2021/2022","Manufacturing (C)","Ireland","Number","240801"
"Usual residents aged 16 years and over in employment","2021/2022","Manufacturing (C)","Northern Ireland","Number","74275"
"Usual residents aged 16 years and over in employment","2021/2022","Electricity, gas, steam and air conditioning supply (D)","Ireland","Number","13126"
"Usual residents aged 16 years and over in employment","2021/2022","Electricity, gas, steam and air conditioning supply (D)","Northern Ireland","Number","4185"
"Usual residents aged 16 years and over in employment","2021/2022","Water supply; sewerage, waste management and remediation activities (E)","Ireland","Number","12088"
"Usual residents aged 16 years and over in employment","2021/2022","Water supply; sewerage, waste management and remediation activities (E)","Northern Ireland","Number","5840"
"Usual residents aged 16 years and over in employment","2021/2022","Construction (F)","Ireland","Number","133021"
"Usual residents aged 16 years and over in employment","2021/2022","Construction (F)","Northern Ireland","Number","71392"
"Usual residents aged 16 years and over in employment","2021/2022","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Ireland","Number","275223"
"Usual residents aged 16 years and over in employment","2021/2022","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Northern Ireland","Number","137129"
"Usual residents aged 16 years and over in employment","2021/2022","Transportation and storage (H)","Ireland","Number","86089"
"Usual residents aged 16 years and over in employment","2021/2022","Transportation and storage (H)","Northern Ireland","Number","33077"
"Usual residents aged 16 years and over in employment","2021/2022","Accommodation and food service activities (I)","Ireland","Number","121438"
"Usual residents aged 16 years and over in employment","2021/2022","Accommodation and food service activities (I)","Northern Ireland","Number","38874"
"Usual residents aged 16 years and over in employment","2021/2022","Information and communication (J)","Ireland","Number","123554"
"Usual residents aged 16 years and over in employment","2021/2022","Information and communication (J)","Northern Ireland","Number","29676"
"Usual residents aged 16 years and over in employment","2021/2022","Financial and insurance activities (K)","Ireland","Number","104075"
"Usual residents aged 16 years and over in employment","2021/2022","Financial and insurance activities (K)","Northern Ireland","Number","28699"
"Usual residents aged 16 years and over in employment","2021/2022","Real estate activities (L)","Ireland","Number","12122"
"Usual residents aged 16 years and over in employment","2021/2022","Real estate activities (L)","Northern Ireland","Number","8538"
"Usual residents aged 16 years and over in employment","2021/2022","Professional, scientific and technical activities (M)","Ireland","Number","155861"
"Usual residents aged 16 years and over in employment","2021/2022","Professional, scientific and technical activities (M)","Northern Ireland","Number","44837"
"Usual residents aged 16 years and over in employment","2021/2022","Administrative and support service activities (N)","Ireland","Number","86186"
"Usual residents aged 16 years and over in employment","2021/2022","Administrative and support service activities (N)","Northern Ireland","Number","33728"
"Usual residents aged 16 years and over in employment","2021/2022","Public administration and defence; compulsory social security (O)","Ireland","Number","128806"
