"Statistic Label","Census Year","Ireland and Northern Ireland","Means of Travel","UNIT","VALUE"
"Usual residents aged 16 years and over at work","2021/2022","Ireland","Bicycle","Number","60654"
"Usual residents aged 16 years and over at work","2021/2022","Ireland","Bus, minibus or coach","Number","118833"
"Usual residents aged 16 years and over at work","2021/2022","Ireland","Car or van","Number","1430049"
"Usual residents aged 16 years and over at work","2021/2022","Ireland","Motorcycle or scooter","Number","8481"
"Usual residents aged 16 years and over at work","2021/2022","Ireland","On foot","Number","177946"
"Usual residents aged 16 years and over at work","2021/2022","Ireland","Train, DART or LUAS","Number","60878"
"Usual residents aged 16 years and over at work","2021/2022","Ireland","Work mainly at or from home","Number","259461"
"Usual residents aged 16 years and over at work","2021/2022","Ireland","Other, incl. lorry","Number","12741"
"Usual residents aged 16 years and over at work","2021/2022","Ireland","Not stated","Number","162891"
"Usual residents aged 16 years and over at work","2021/2022","Ireland","All means of travel","Number","2291934"
"Usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Bicycle","Number","6475"
"Usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Bus, minibus or coach","Number","22569"
"Usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Car or van","Number","563046"
"Usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Motorcycle or scooter","Number","1467"
"Usual residents aged 16 years and over at work","2021/2022","Northern Ireland","On foot","Number","52476"
"Usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Train, DART or LUAS","Number","7656"
"Usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Work mainly at or from home","Number","153523"
"Usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Other, incl. lorry","Number","6566"
"Usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Not stated","Number","0"
"Usual residents aged 16 years and over at work","2021/2022","Northern Ireland","All means of travel","Number","813778"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Ireland","Bicycle","%","2.6"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Ireland","Bus, minibus or coach","%","5.2"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Ireland","Car or van","%","62.4"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Ireland","Motorcycle or scooter","%","0.4"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Ireland","On foot","%","7.8"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Ireland","Train, DART or LUAS","%","2.7"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Ireland","Work mainly at or from home","%","11.3"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Ireland","Other, incl. lorry","%","0.6"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Ireland","Not stated","%","7.1"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Ireland","All means of travel","%","100"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Bicycle","%","0.8"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Bus, minibus or coach","%","2.8"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Car or van","%","69.2"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Motorcycle or scooter","%","0.2"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Northern Ireland","On foot","%","6.4"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Train, DART or LUAS","%","0.9"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Work mainly at or from home","%","18.9"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Other, incl. lorry","%","0.8"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Northern Ireland","Not stated","%","0"
"Percentage of usual residents aged 16 years and over at work","2021/2022","Northern Ireland","All means of travel","%","100"
