"Statistic Label","Census Year","Ireland and Northern Ireland","Household Composition","UNIT","VALUE"
"Private Households","2021/2022","Ireland","One Person, aged 66 years or over","Number","180648"
"Private Households","2021/2022","Ireland","One Person, aged 65 years or under","Number","245326"
"Private Households","2021/2022","Ireland","Couple without children","Number","354329"
"Private Households","2021/2022","Ireland","Couple with children","Number","619987"
"Private Households","2021/2022","Ireland","One parent with children","Number","182395"
"Private Households","2021/2022","Ireland","Other household types","Number","258467"
"Private Households","2021/2022","Ireland","All household types","Number","1841152"
"Private Households","2021/2022","Northern Ireland","One Person, aged 66 years or over","Number","91674"
"Private Households","2021/2022","Northern Ireland","One Person, aged 65 years or under","Number","142975"
"Private Households","2021/2022","Northern Ireland","Couple without children","Number","101459"
"Private Households","2021/2022","Northern Ireland","Couple with children","Number","217747"
"Private Households","2021/2022","Northern Ireland","One parent with children","Number","111088"
"Private Households","2021/2022","Northern Ireland","Other household types","Number","103866"
"Private Households","2021/2022","Northern Ireland","All household types","Number","768809"
"Percentage of Private Households","2021/2022","Ireland","One Person, aged 66 years or over","%","9.81"
"Percentage of Private Households","2021/2022","Ireland","One Person, aged 65 years or under","%","13.32"
"Percentage of Private Households","2021/2022","Ireland","Couple without children","%","19.24"
"Percentage of Private Households","2021/2022","Ireland","Couple with children","%","33.67"
"Percentage of Private Households","2021/2022","Ireland","One parent with children","%","9.91"
"Percentage of Private Households","2021/2022","Ireland","Other household types","%","14.04"
"Percentage of Private Households","2021/2022","Ireland","All household types","%","100"
"Percentage of Private Households","2021/2022","Northern Ireland","One Person, aged 66 years or over","%","11.92"
"Percentage of Private Households","2021/2022","Northern Ireland","One Person, aged 65 years or under","%","18.6"
"Percentage of Private Households","2021/2022","Northern Ireland","Couple without children","%","13.2"
"Percentage of Private Households","2021/2022","Northern Ireland","Couple with children","%","28.32"
"Percentage of Private Households","2021/2022","Northern Ireland","One parent with children","%","14.45"
"Percentage of Private Households","2021/2022","Northern Ireland","Other household types","%","13.51"
"Percentage of Private Households","2021/2022","Northern Ireland","All household types","%","100"
