"Statistic Label","Census Year","Ireland and Northern Ireland","General Health","Age Group","UNIT","VALUE"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","All ages","Number","5084879"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","0 - 4 years","Number","292797"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","5 - 9 years","Number","340063"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","10 - 14 years","Number","371248"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","15 - 19 years","Number","332180"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","20 - 24 years","Number","298721"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","25 - 29 years","Number","289894"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","30 - 34 years","Number","326847"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","35 - 39 years","Number","378515"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","40 - 44 years","Number","407607"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","45 - 49 years","Number","370059"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","50 - 54 years","Number","336384"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","55 - 59 years","Number","303402"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","60 - 64 years","Number","268929"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","65 - 69 years","Number","234857"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","70 - 74 years","Number","200553"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","75 - 79 years","Number","152905"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","80 - 84 years","Number","95897"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - All","85 years and over","Number","84021"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","All ages","Number","2705924"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","0 - 4 years","Number","229720"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","5 - 9 years","Number","273020"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","10 - 14 years","Number","294295"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","15 - 19 years","Number","244471"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","20 - 24 years","Number","192891"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","25 - 29 years","Number","174384"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","30 - 34 years","Number","183356"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","35 - 39 years","Number","197791"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","40 - 44 years","Number","202951"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","45 - 49 years","Number","174763"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","50 - 54 years","Number","145050"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","55 - 59 years","Number","121651"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","60 - 64 years","Number","94375"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","65 - 69 years","Number","70582"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","70 - 74 years","Number","51700"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","75 - 79 years","Number","31110"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","80 - 84 years","Number","15264"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","85 years and over","Number","8550"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","All ages","Number","1508222"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","0 - 4 years","Number","31825"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","5 - 9 years","Number","39930"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","10 - 14 years","Number","48448"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","15 - 19 years","Number","57238"
"Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","20 - 24 years","Number","69789"
