"Statistic Label","Census Year","Ireland and Northern Ireland","Type of Household","UNIT","VALUE"
"Private Households","2021/2022","Ireland","Detached house","Number","756660"
"Private Households","2021/2022","Ireland","Semi-detached house","Number","466261"
"Private Households","2021/2022","Ireland","Terraced house","Number","372849"
"Private Households","2021/2022","Ireland","Flat or apartment in a purpose-built block","Number","190197"
"Private Households","2021/2022","Ireland","Flat or apartment in a converted house or commercial building","Number","50761"
"Private Households","2021/2022","Ireland","Caravan, mobile or other temporary structure","Number","4424"
"Private Households","2021/2022","Ireland","Not stated","Number","0"
"Private Households","2021/2022","Ireland","All households","Number","1841152"
"Private Households","2021/2022","Northern Ireland","Detached house","Number","289975"
"Private Households","2021/2022","Northern Ireland","Semi-detached house","Number","228545"
"Private Households","2021/2022","Northern Ireland","Terraced house","Number","171949"
"Private Households","2021/2022","Northern Ireland","Flat or apartment in a purpose-built block","Number","64852"
"Private Households","2021/2022","Northern Ireland","Flat or apartment in a converted house or commercial building","Number","12404"
"Private Households","2021/2022","Northern Ireland","Caravan, mobile or other temporary structure","Number","1087"
"Private Households","2021/2022","Northern Ireland","Not stated","Number","0"
"Private Households","2021/2022","Northern Ireland","All households","Number","768812"
"Precentage of Private Household","2021/2022","Ireland","Detached house","%","41.09709573"
"Precentage of Private Household","2021/2022","Ireland","Semi-detached house","%","25.32441645"
"Precentage of Private Household","2021/2022","Ireland","Terraced house","%","20.25085381"
"Precentage of Private Household","2021/2022","Ireland","Flat or apartment in a purpose-built block","%","10.3303258"
"Precentage of Private Household","2021/2022","Ireland","Flat or apartment in a converted house or commercial building","%","2.757023863"
"Precentage of Private Household","2021/2022","Ireland","Caravan, mobile or other temporary structure","%","0.240284344"
"Precentage of Private Household","2021/2022","Ireland","Not stated","%","0"
"Precentage of Private Household","2021/2022","Ireland","All households","%","100"
"Precentage of Private Household","2021/2022","Northern Ireland","Detached house","%","37.71728329"
"Precentage of Private Household","2021/2022","Northern Ireland","Semi-detached house","%","29.7270334"
"Precentage of Private Household","2021/2022","Northern Ireland","Terraced house","%","22.3655458"
"Precentage of Private Household","2021/2022","Northern Ireland","Flat or apartment in a purpose-built block","%","8.435352206"
"Precentage of Private Household","2021/2022","Northern Ireland","Flat or apartment in a converted house or commercial building","%","1.613398334"
"Precentage of Private Household","2021/2022","Northern Ireland","Caravan, mobile or other temporary structure","%","0.141386971"
"Precentage of Private Household","2021/2022","Northern Ireland","Not stated","%","0"
"Precentage of Private Household","2021/2022","Northern Ireland","All households","%","100"
