"Statistic Label","Census Year","Ireland and Northern Ireland","Sex","Level of Education","UNIT","VALUE"
"Usual residents aged 16 years and over","2021/2022","Ireland","Both sexes","Basic qualification","Number","973527"
"Usual residents aged 16 years and over","2021/2022","Ireland","Both sexes","Intermediate and advanced qualification","Number","1500796"
"Usual residents aged 16 years and over","2021/2022","Ireland","Both sexes","Higher and professional qualification","Number","1277957"
"Usual residents aged 16 years and over","2021/2022","Ireland","Both sexes","Qualification not stated","Number","258990"
"Usual residents aged 16 years and over","2021/2022","Ireland","Both sexes","Other qualification","Number","0"
"Usual residents aged 16 years and over","2021/2022","Ireland","Both sexes","All levels of qualifications","Number","4011270"
"Usual residents aged 16 years and over","2021/2022","Ireland","Male","Basic qualification","Number","523338"
"Usual residents aged 16 years and over","2021/2022","Ireland","Male","Intermediate and advanced qualification","Number","740896"
"Usual residents aged 16 years and over","2021/2022","Ireland","Male","Higher and professional qualification","Number","568889"
"Usual residents aged 16 years and over","2021/2022","Ireland","Male","Qualification not stated","Number","133622"
"Usual residents aged 16 years and over","2021/2022","Ireland","Male","Other qualification","Number","0"
"Usual residents aged 16 years and over","2021/2022","Ireland","Male","All levels of qualifications","Number","1966745"
"Usual residents aged 16 years and over","2021/2022","Ireland","Female","Basic qualification","Number","450189"
"Usual residents aged 16 years and over","2021/2022","Ireland","Female","Intermediate and advanced qualification","Number","759900"
"Usual residents aged 16 years and over","2021/2022","Ireland","Female","Higher and professional qualification","Number","709068"
"Usual residents aged 16 years and over","2021/2022","Ireland","Female","Qualification not stated","Number","125368"
"Usual residents aged 16 years and over","2021/2022","Ireland","Female","Other qualification","Number","0"
"Usual residents aged 16 years and over","2021/2022","Ireland","Female","All levels of qualifications","Number","2044525"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Both sexes","Basic qualification","Number","450003"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Both sexes","Intermediate and advanced qualification","Number","448170"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Both sexes","Higher and professional qualification","Number","486331"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Both sexes","Qualification not stated","Number","0"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Both sexes","Other qualification","Number","130238"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Both sexes","All levels of qualifications","Number","1514742"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Male","Basic qualification","Number","217060"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Male","Intermediate and advanced qualification","Number","209645"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Male","Higher and professional qualification","Number","214499"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Male","Qualification not stated","Number","0"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Male","Other qualification","Number","95935"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Male","All levels of qualifications","Number","737139"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Female","Basic qualification","Number","232943"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Female","Intermediate and advanced qualification","Number","238525"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Female","Higher and professional qualification","Number","271832"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Female","Qualification not stated","Number","0"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Female","Other qualification","Number","34303"
"Usual residents aged 16 years and over","2021/2022","Northern Ireland","Female","All levels of qualifications","Number","777603"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Both sexes","Basic qualification","%","24.3"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Both sexes","Intermediate and advanced qualification","%","37.4"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Both sexes","Higher and professional qualification","%","31.9"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Both sexes","Qualification not stated","%","6.5"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Both sexes","Other qualification","%","0"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Both sexes","All levels of qualifications","%","100"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Male","Basic qualification","%","26.6"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Male","Intermediate and advanced qualification","%","37.7"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Male","Higher and professional qualification","%","28.9"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Male","Qualification not stated","%","6.8"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Male","Other qualification","%","0"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Male","All levels of qualifications","%","100"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Female","Basic qualification","%","22"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Female","Intermediate and advanced qualification","%","37.2"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Female","Higher and professional qualification","%","34.7"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Female","Qualification not stated","%","6.1"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Female","Other qualification","%","0"
"Percentage of usual residents aged 16 years and over","2021/2022","Ireland","Female","All levels of qualifications","%","100"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Both sexes","Basic qualification","%","29.7"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Both sexes","Intermediate and advanced qualification","%","29.6"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Both sexes","Higher and professional qualification","%","32.1"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Both sexes","Qualification not stated","%","0"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Both sexes","Other qualification","%","8.6"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Both sexes","All levels of qualifications","%","100"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Male","Basic qualification","%","29.4"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Male","Intermediate and advanced qualification","%","28.4"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Male","Higher and professional qualification","%","29.1"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Male","Qualification not stated","%","0"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Male","Other qualification","%","13"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Male","All levels of qualifications","%","100"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Female","Basic qualification","%","30"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Female","Intermediate and advanced qualification","%","30.7"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Female","Higher and professional qualification","%","35"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Female","Qualification not stated","%","0"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Female","Other qualification","%","4.4"
"Percentage of usual residents aged 16 years and over","2021/2022","Northern Ireland","Female","All levels of qualifications","%","100"
